citizen,country,time,TOTAL,TOTAL_POS
AF,HU,2015Q4,185.0,15.0
AF,HU,2016Q1,195.0,40.0
AF,HU,2016Q2,265.0,30.0
AF,HU,2016Q3,210.0,20.0
AF,HU,2016Q4,915.0,10.0
AF,HU,2017Q1,950.0,10.0
AF,HU,2017Q2,225.0,105.0
AF,HU,2017Q3,370.0,280.0
AF,HU,2017Q4,255.0,185.0
AF,IE,2008Q1,15.0,0.0
AF,IE,2008Q2,20.0,0.0
AF,IE,2008Q3,25.0,0.0
AF,IE,2008Q4,25.0,5.0
AF,IE,2009Q1,20.0,0.0
AF,IE,2009Q2,20.0,0.0
AF,IE,2009Q3,15.0,5.0
AF,IE,2009Q4,30.0,5.0
AF,IE,2010Q1,20.0,0.0
AF,IE,2010Q2,20.0,0.0
AF,IE,2010Q3,10.0,0.0
AF,IE,2010Q4,20.0,0.0
AF,IE,2011Q1,15.0,0.0
AF,IE,2011Q2,15.0,5.0
AF,IE,2011Q3,15.0,0.0
AF,IE,2011Q4,25.0,0.0
AF,IE,2012Q1,20.0,5.0
AF,IE,2012Q2,15.0,0.0
AF,IE,2012Q3,10.0,0.0
AF,IE,2012Q4,5.0,0.0
AF,IE,2013Q1,15.0,0.0
AF,IE,2013Q2,15.0,5.0
AF,IE,2013Q3,10.0,0.0
AF,IE,2013Q4,15.0,5.0
AF,IE,2014Q1,10.0,10.0
AF,IE,2014Q2,10.0,10.0
AF,IE,2014Q3,20.0,15.0
AF,IE,2014Q4,15.0,15.0
AF,IE,2015Q1,20.0,20.0
AF,IE,2015Q2,10.0,5.0
AF,IE,2015Q3,5.0,5.0
AF,IE,2015Q4,15.0,10.0
AF,IE,2016Q1,15.0,10.0
AF,IE,2016Q2,15.0,10.0
AF,IE,2016Q3,30.0,10.0
AF,IE,2016Q4,25.0,10.0
AF,IE,2017Q1,5.0,5.0
AF,IE,2017Q2,0.0,0.0
AF,IE,2017Q3,0.0,0.0
AF,IE,2017Q4,,
AF,IS,2008Q1,0.0,0.0
AF,IS,2008Q2,0.0,0.0
AF,IS,2008Q3,0.0,0.0
AF,IS,2008Q4,0.0,0.0
AF,IS,2009Q1,0.0,0.0
AF,IS,2009Q2,0.0,0.0
AF,IS,2009Q3,0.0,0.0
AF,IS,2009Q4,0.0,0.0
AF,IS,2010Q1,0.0,0.0
AF,IS,2010Q2,0.0,0.0
AF,IS,2010Q3,0.0,0.0
AF,IS,2010Q4,0.0,0.0
AF,IS,2011Q1,0.0,0.0
AF,IS,2011Q2,0.0,0.0
AF,IS,2011Q3,0.0,0.0
AF,IS,2011Q4,0.0,0.0
